date,amount,description,transaction_type,source
2025-09-24,-67.63,AMPOL SUBIACO             SUBIACO,expense,ANZ
2025-09-24,-23.1,MCDONALDS JOLIMONT        JOLIMONT,expense,ANZ
2025-09-23,-58.25,SQ *PHO NGUYEN VIC PARK W EAST VICTORIA,expense,ANZ
2025-09-22,-17.7,SQ *TOTALLY RENDANG       WEST PERTH,expense,ANZ
2025-09-22,-14.18,JUANITA'S BAR             SUBIACO,expense,ANZ
2025-09-22,-1.49,APPLE.COM/BILL            SYDNEY,expense,ANZ
2025-09-22,-5.5,SQ *PARKSIDE COFFEE       PERTH,expense,ANZ
2025-09-22,-6.4,SQ *CHARLIE BOY COFFEE    NORTHBRIDGE,expense,ANZ
2025-09-19,-52.53,WEI'S DUMPLING HUT        SUBIACO,expense,ANZ
2025-09-18,-8.6,WOOLWORTHS/SUBIACO SQR S/ SUBIACO,expense,ANZ
2025-09-18,-54.0,IKEA PERTH                INNALOO,expense,ANZ
2025-09-18,-2.5,IKEA PERTH                INNALOO,expense,ANZ
2025-09-17,-280.0,2026 SYDNEY MARATHON      SYDNEY,expense,ANZ
2025-09-17,-19.5,READING CINEMAS           BELMONT,expense,ANZ
2025-09-16,-81.28,SQ *TRAIN TO POCHA        1800595310,expense,ANZ
2025-09-15,1700.0,PAYMENT - THANKYOU,income,ANZ
2025-09-15,-62.36,REDDY EXPRESS 6913        PERTH WEST,expense,ANZ
2025-09-15,-34.97,WOOLWORTHS/335 HIGH RD CN RIVERTON,expense,ANZ
2025-09-15,-54.86,HBF HEALTH LIMITED        PERTH,expense,ANZ
2025-09-15,-46.74,PETRA CAFE                VICTORIA PARK,expense,ANZ
2025-09-15,-63.01,WOOLWORTHS/CAROUSEL S/C 1 CANNINGTON,expense,ANZ
2025-09-15,-42.4,READING CINEMAS           SOUTH MELBOUR,expense,ANZ
2025-09-15,-18.35,MCDONALDS JOLIMONT        JOLIMONT,expense,ANZ
2025-09-12,-6.4,SQ *CHARLIE BOY COFFEE    NORTHBRIDGE,expense,ANZ
2025-09-12,-16.81,SQ *SIPRA KEBAB AND GRILL WEST PERTH,expense,ANZ
2025-09-10,-48.11,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-09-09,-102.0,SP PRECISION FUEL HYDR    ARUNDEL,expense,ANZ
2025-09-09,-21.72,SUBI FISH N CHIPS         SUBIACO,expense,ANZ
2025-09-09,-30.53,STEAM PURCHASE            SEATTLE,expense,ANZ
2025-09-08,-20.89,SQ *SIPRA KEBAB AND GRILL WEST PERTH,expense,ANZ
2025-09-05,-19.04,SQ *KYOTO GARDEN          KARDINYA,expense,ANZ
2025-09-05,-46.19,SQ *KYOTO GARDEN          KARDINYA,expense,ANZ
2025-09-05,-5.0,SQ *FRANCISCANS SOCIAL CL NORTHBRIDGE,expense,ANZ
2025-09-05,-6.4,SQ *CHARLIE BOY COFFEE    NORTHBRIDGE,expense,ANZ
2025-09-05,-62.97,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-09-03,-74.99,IINET LTD N               SYDNEY,expense,ANZ
2025-09-03,-6.5,GI PABLA PTY LTD          RIVERTON,expense,ANZ
2025-09-03,-52.0,HANOZE PARK PTY LTD       PERTH,expense,ANZ
2025-09-03,-22.6,MCDONALDS JOLIMONT        JOLIMONT,expense,ANZ
2025-09-02,-41.04,WOOLWORTHS/335 HIGH RD CN RIVERTON,expense,ANZ
2025-09-02,-64.94,SUSHIHIRO MARION PTY      OAKLANDS PARK,expense,ANZ
2025-09-01,-58.87,LITTLE MAGIC MOMO         WEMBLEY,expense,ANZ
2025-09-01,-54.86,HBF HEALTH LIMITED        PERTH,expense,ANZ
2025-09-01,-13.99,SPOTIFY                   SYDNEY,expense,ANZ
2025-08-28,-53.88,CHEMIST WAREHOUSE         VICTORIA PARK,expense,ANZ
2025-08-27,-7.08,TOROCHI                   VICTORIA PARK,expense,ANZ
2025-08-27,-7.46,WOOLWORTHS/VICTORIA PARK  VICTORIA PARK,expense,ANZ
2025-08-27,-51.8,286PIN* DAPURVANJAVA      PERTH,expense,ANZ
2025-08-27,-11.11,CPP ROE STREET            NORTHBRIDGE,expense,ANZ
2025-08-27,-54.59,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-08-26,-72.43,VIBE SUBIACO              SUBIACO,expense,ANZ
2025-08-25,-42.31,TS/AYAM PENYET RIA - V    VICTORIA,expense,ANZ
2025-08-25,-1.49,APPLE.COM/BILL            SYDNEY,expense,ANZ
2025-08-25,-55.57,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-08-22,-6.1,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ
2025-08-20,-27.84,MCDONALDS JOLIMONT        JOLIMONT,expense,ANZ
2025-08-20,-47.6,TS/AYAM PENYET RIA - V    VICTORIA,expense,ANZ
2025-08-20,-5.19,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-08-19,-7.63,STEAM PURCHASE            SEATTLE,expense,ANZ
2025-08-19,-90.94,LS KHMER EMPIRE PTY LT    MAYLANDS,expense,ANZ
2025-08-19,-11.11,CPP STATE LIBRARY         PERTH,expense,ANZ
2025-08-18,-13.21,SQ *FOAM TRIGG            TRIGG,expense,ANZ
2025-08-18,-18.29,SQ *DONUT WORRY NORTHBRID NORTHBRIDGE,expense,ANZ
2025-08-18,-54.86,HBF HEALTH LIMITED        PERTH,expense,ANZ
2025-08-18,-5.7,SQ *CHARLIE BOY COFFEE    NORTHBRIDGE,expense,ANZ
2025-08-18,-18.0,MCDONALDS DT 1488         KARAWARA,expense,ANZ
2025-08-18,-63.48,THE SUNMOS TRUST          NORTHBRIDGE,expense,ANZ
2025-08-15,-5.7,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ
2025-08-13,-33.79,ROKEBYGP                  SUBIACO,expense,ANZ
2025-08-12,-6.5,GI PABLA PTY LTD          RIVERTON,expense,ANZ
2025-08-11,2450.0,PAYMENT - THANKYOU,income,ANZ
2025-08-11,-26.26,SUSHIHIRO MARION PTY      OAKLANDS PARK,expense,ANZ
2025-08-11,-18.0,BWS LIQUOR/335 HIGH RD CN RIVERTON,expense,ANZ
2025-08-11,-34.74,WOOLWORTHS/335 HIGH RD CN RIVERTON,expense,ANZ
2025-08-11,-19.21,SMP*IS DONBURI DINING     NORTHBRIDGE,expense,ANZ
2025-08-11,-6.6,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ
2025-08-11,-18.0,HUNGRY JACKS              CLAREMONT,expense,ANZ
2025-08-11,-47.97,AMPOL SUBIACO             SUBIACO,expense,ANZ
2025-08-08,-18.37,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-08-07,-3.0,SP 391 ALBANY HWY         VICTORIA PARK,expense,ANZ
2025-08-06,-14.78,SQ *SIPRA KEBAB AND GRILL WEST PERTH,expense,ANZ
2025-08-06,-9.11,CHENLY PTY LTD            EAST VICTORIA,expense,ANZ
2025-08-05,-50.8,PETRA RESTAURANT          VICTORIA PARK,expense,ANZ
2025-08-04,-54.86,HBF HEALTH LIMITED        PERTH,expense,ANZ
2025-08-04,-51.1,SQ *LUXURIOUS BARBER ON H WEST PERTH,expense,ANZ
2025-08-04,-42.14,HAO SZECHUAN/1514 ALBANY  BECKENHAM,expense,ANZ
2025-08-04,-74.99,IINET LTD N               SYDNEY,expense,ANZ
2025-08-04,-52.0,EDWARDOROKEBYFLORIST      SUBIACO,expense,ANZ
2025-08-04,-66.92,TS/AYAM PENYET RIA - V    VICTORIA,expense,ANZ
2025-08-04,-15.08,TOROCHI                   VICTORIA PARK,expense,ANZ
2025-07-31,-148.97,JAGEX PAYMENT             CAMBRIDGE,expense,ANZ
2025-07-30,-4.01,EASYPARK                  PRAHRAN,expense,ANZ
2025-07-30,-13.99,SPOTIFY                   SYDNEY,expense,ANZ
2025-07-30,-18.35,MCDONALDS JOLIMONT        JOLIMONT,expense,ANZ
2025-07-29,-80.96,PHO THANH DAT PTY LTD     NORTHBRIDGE,expense,ANZ
2025-07-29,-67.65,REDDY EXPRESS 6913        PERTH WEST,expense,ANZ
2025-07-29,-16.5,SQ *SIPRA KEBAB AND GRILL 1800595310,expense,ANZ
2025-07-28,-4.2,SQ *CHARLIE BOY COFFEE    NORTHBRIDGE,expense,ANZ
2025-07-28,-66.31,TS/AYAM PENYET RIA - V    VICTORIA,expense,ANZ
2025-07-28,-1055.0,LS POWERHOUSE SURF CO     PALMYRA,expense,ANZ
2025-07-24,-16.5,SQ *SIPRA KEBAB AND GRILL 1800595310,expense,ANZ
2025-07-23,-5.29,EASYPARK                  PRAHRAN,expense,ANZ
2025-07-23,-19.55,MCDONALDS JOLIMONT        JOLIMONT,expense,ANZ
2025-07-23,-1.49,APPLE.COM/BILL            SYDNEY,expense,ANZ
2025-07-23,-64.01,DUONG HOLDINGS PTY LTD    NORTHBRIDGE,expense,ANZ
2025-07-23,-8.12,TEAMORROW                 PERTH,expense,ANZ
2025-07-22,-26.31,PHO THANH DAT PTY LTD     NORTHBRIDGE,expense,ANZ
2025-07-22,-5.55,EASYPARK                  PRAHRAN,expense,ANZ
2025-07-21,-54.86,HBF HEALTH LIMITED        PERTH,expense,ANZ
2025-07-21,-39.85,WOOLWORTHS/CAROUSEL S/C 1 CANNINGTON,expense,ANZ
2025-07-21,-67.33,TS/AYAM PENYET RIA - V    VICTORIA,expense,ANZ
2025-07-21,-6.07,COFFEELICIOUS             WANNEROO,expense,ANZ
2025-07-21,-83.6,TICKETEK PTY LTD          SUBIACO,expense,ANZ
2025-07-18,-11.15,U & I CAFE                NORTHBRIDGE,expense,ANZ
2025-07-17,-34.6,MCDONALDS DT 1488         KARAWARA,expense,ANZ
2025-07-14,1650.0,PAYMENT - THANKYOU,income,ANZ
2025-07-11,-23.19,MCDONALDS KARAWARA        KARAWARA,expense,ANZ
2025-07-11,-48.13,OTR COMO                  COMO,expense,ANZ
2025-07-08,-82.79,WOOLWORTHS/335 HIGH RD CN RIVERTON,expense,ANZ
2025-07-08,-30.0,REDEFFECT PTY LTD         WEST PERTH,expense,ANZ
2025-07-07,-54.86,HBF HEALTH LIMITED        PERTH,expense,ANZ
2025-07-07,-52.29,SEON & JEONG (WA)         VICTORIA PARK,expense,ANZ
2025-07-07,-68.92,OTR COMO                  COMO,expense,ANZ
2025-07-07,-50.13,BUNNINGS 309000           SUBIACO,expense,ANZ
2025-07-07,-61.0,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-07-04,-11.15,U & I CAFE                NORTHBRIDGE,expense,ANZ
2025-07-04,-74.99,IINET LTD N               SYDNEY,expense,ANZ
2025-07-03,-92.4,BULK NUTRIENTS            61362664725,expense,ANZ
2025-07-03,-67.94,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-07-02,-17.85,MCDONALDS ASCOT WATER     BELMONT,expense,ANZ
2025-07-01,-149.0,SQ *MUMMUCC'              WEMBLEY,expense,ANZ
2025-07-01,-77.14,DAILY'S 1988              NORTHBRIDGE,expense,ANZ
2025-06-30,-66.48,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-06-30,-13.99,SPOTIFY                   SYDNEY,expense,ANZ
2025-06-30,-17.85,MCDONALDS JOLIMONT        JOLIMONT,expense,ANZ
2025-06-27,-6.6,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ
2025-06-27,-40.0,MARCO'S ORGANIC PIZZA     JOONDANNA,expense,ANZ
2025-06-25,-27.19,MCDONALDS JOLIMONT        JOLIMONT,expense,ANZ
2025-06-23,-1.49,APPLE.COM/BILL            SYDNEY,expense,ANZ
2025-06-23,-54.86,HBF HEALTH LIMITED        PERTH,expense,ANZ
2025-06-23,-69.38,AMPOL SUBIACO             SUBIACO,expense,ANZ
2025-06-20,-81.16,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-06-16,-13.0,TARGET 5429               SUBIACO,expense,ANZ
2025-06-16,-51.98,COLES 0270                SUBIACO,expense,ANZ
2025-06-16,-47.47,WOOLWORTHS/CAROUSEL S/C 1 CANNINGTON,expense,ANZ
2025-06-16,-148.97,JAGEX PAYMENT             CAMBRIDGE,expense,ANZ
2025-06-16,-84.39,AMAZON MARKETPLACE AU     SYDNEY SOUTH,expense,ANZ
2025-06-12,-7.73,SMP*PRESOTEA JAMES ST6B   NORTHBRIDGE,expense,ANZ
2025-06-11,2500.0,PAYMENT - THANKYOU,income,ANZ
2025-06-11,-11.15,U & I CAFE                NORTHBRIDGE,expense,ANZ
2025-06-11,-14.55,MCDONALDS JOLIMONT        JOLIMONT,expense,ANZ
